area_sqft,bedrooms,bathrooms,swimming_pool,parking_space,furnished,furniture_available,locality_score,access_main_road,shopping_complex,local_market,previous_price,price,future_trend
16295,7,1,0,5,0,1,5,1,0,1,1477839,1529763,Up
1360,4,4,0,1,0,1,10,0,0,0,473396,608411,Up
55386,1,1,0,0,0,1,7,0,0,0,3007198,3111531,Up
6765,5,5,1,5,1,1,10,0,1,1,1139948,1274406,Up
37694,9,4,0,4,0,0,4,0,0,1,2508248,2642444,Up
44631,8,3,0,1,1,1,9,0,0,0,2848222,2944321,Up
60763,9,5,0,4,0,1,10,1,0,0,3860614,3967960,Up
16523,9,4,1,5,1,0,2,0,1,0,1580722,1706203,Up
41590,7,3,1,5,0,1,9,0,1,0,2851514,2951576,Up
67721,4,1,0,1,0,1,9,0,1,0,3802789,3853095,Up
65320,5,4,0,4,1,1,5,1,0,0,3830128,3968623,Up
1269,1,3,1,2,0,1,1,1,0,0,378397,498164,Up
60235,1,1,1,4,1,0,7,1,0,1,3503929,3566136,Up
63455,3,5,1,5,0,1,10,0,1,0,3826886,3916312,Up
65425,8,5,1,4,0,0,10,0,1,1,4179962,4236298,Up
68469,2,5,1,0,1,1,4,0,0,1,3936579,4061745,Up
5811,4,5,1,2,1,1,9,0,0,0,950320,1017576,Up
54207,2,2,1,3,1,1,6,0,1,0,3147494,3296939,Up
29193,5,4,1,0,0,0,3,1,0,1,2037107,2136924,Up
72432,9,4,0,3,1,1,6,0,0,0,4324725,4408444,Up
26158,1,2,0,1,0,1,10,1,0,0,1629330,1721347,Up
18931,5,3,0,3,1,0,6,0,1,1,1541261,1636965,Up
3247,9,3,0,4,1,0,5,1,0,1,929839,1009852,Up
59650,1,5,0,3,1,0,2,1,0,1,3380777,3510768,Up
66225,9,1,0,5,1,0,10,1,0,0,4025700,4145958,Up
36273,8,3,1,0,1,1,10,1,0,0,2579227,2707575,Up
67935,4,1,1,0,1,1,2,0,1,1,3831763,3977575,Up
57386,5,4,0,3,0,1,7,0,1,0,3434098,3520874,Up
67303,5,1,0,0,1,1,2,0,1,1,3840638,3900698,Up
32051,6,4,1,5,0,0,6,1,0,0,2232770,2361362,Up
11894,7,2,1,0,1,1,5,0,1,1,1298354,1355009,Up
69592,8,2,1,3,1,1,4,0,0,0,4135720,4273830,Up
4390,8,5,0,2,1,1,7,0,1,1,966205,1066128,Up
42106,2,3,1,2,0,1,8,0,0,0,2527318,2655881,Up
11127,9,5,0,1,0,0,4,1,1,0,1263948,1317978,Up
9292,7,4,0,0,1,1,1,1,1,1,1058449,1198228,Up
74469,4,5,1,3,0,1,1,0,1,0,4265266,4348555,Up
43501,4,1,1,0,1,1,1,0,0,0,2620141,2689880,Up
24397,8,4,0,4,1,0,1,0,0,1,1799303,1949007,Up
68648,4,2,1,5,0,0,5,1,0,0,3938155,4049842,Up
23983,6,3,1,0,0,1,4,1,1,0,1844894,1931385,Up
49055,5,4,0,0,0,1,9,1,0,0,2884548,3030097,Up
17659,3,4,1,2,0,1,3,0,0,1,1385857,1507972,Up
36420,2,1,0,5,1,0,7,1,0,1,2214872,2348650,Up
67621,9,3,0,3,0,1,8,1,0,1,4118379,4173160,Up
69979,9,2,1,0,0,1,6,1,0,1,4245672,4316120,Up
19957,1,4,0,2,1,1,10,1,0,1,1446223,1547773,Up
67057,3,4,0,1,0,0,1,1,1,0,3705357,3804651,Up
53495,8,1,1,5,0,1,8,0,1,0,3451075,3522521,Up
41257,6,5,1,2,0,1,10,0,0,1,2802418,2928997,Up
10192,5,2,1,2,0,0,3,0,1,0,952346,1087735,Up
46258,5,3,0,2,1,0,8,0,1,0,2781484,2917099,Up
72909,6,4,0,0,1,1,4,1,0,0,4177415,4244516,Up
71711,7,4,1,0,0,0,8,0,0,0,4191508,4307686,Up
66197,1,2,0,1,0,1,1,0,1,1,3599124,3677140,Up
37565,9,5,1,4,1,0,3,0,0,1,2705893,2774825,Up
33106,3,4,1,4,0,0,6,1,1,0,2285443,2380096,Up
12034,4,2,0,4,0,1,9,0,1,0,1057952,1198433,Up
40897,1,1,1,5,0,1,2,1,1,1,2439039,2541841,Up
1516,3,5,0,5,0,1,1,1,0,0,545804,603353,Up
56091,2,3,0,1,0,0,10,1,1,0,3230327,3359260,Up
23747,2,4,1,5,0,1,3,0,0,0,1724481,1799843,Up
24800,1,2,0,4,0,1,4,1,0,1,1527792,1625634,Up
74565,8,1,1,4,0,1,5,0,0,1,4437128,4533667,Up
9768,3,3,0,2,0,1,3,0,0,0,792454,876171,Up
12685,3,2,0,5,1,1,10,0,0,0,1107952,1212548,Up
64204,6,2,0,0,1,0,2,1,1,0,3722060,3795076,Up
39599,8,3,1,0,1,1,2,1,0,0,2683642,2788842,Up
9071,9,1,0,2,0,1,7,0,0,0,974281,1104549,Up
38544,9,1,1,2,0,0,9,1,0,0,2643800,2754087,Up
