property_type,floor,residence_status,registration_status,area_sqft,bedrooms,bathrooms,swimming_pool,parking_space,furnished,furniture_available,locality_score,access_main_road,shopping_complex,local_market,previous_price,price,future_trend
Villa,0,Residence,Registrable,122458,4,5,1,1,1,1,2,0,0,0,6594499,6741852,Up
Building,16,Non-Residence,Registrable,671655,7,2,1,0,0,0,10,0,0,1,34374027,34462153,Up
Building,14,Non-Residence,Registrable,132432,5,7,0,7,1,0,10,0,1,0,7508416,7650704,Up
Apartment,22,Residence,Registrable,366338,10,3,1,6,0,1,7,0,0,0,19402292,19522335,Up
Apartment,1,Non-Residence,Registrable,259678,14,4,0,6,1,0,6,0,1,0,13965828,14071438,Up
House,3,Non-Residence,Documented,644667,4,3,1,3,0,0,8,0,0,0,32776954,32850879,Up
Apartment,26,Residence,Registrable,110768,2,3,1,8,1,0,7,0,0,1,6445729,6532005,Up
Empty Land,0,Non-Residence,Registrable,732680,4,4,0,5,1,0,10,1,0,1,37263789,37337478,Up
Building,4,Non-Residence,Registrable,55386,12,5,0,1,1,0,8,1,1,0,3647883,3761825,Up
House,1,Non-Residence,Registrable,137837,2,1,1,0,1,1,3,0,0,1,7266952,7371098,Up
Empty Land,0,Non-Residence,Registrable,521930,8,4,1,0,0,1,6,0,0,0,26806353,26871591,Up
Apartment,24,Non-Residence,Documented,87998,3,8,0,8,0,0,7,0,0,1,5259302,5369726,Up
Apartment,19,Residence,Documented,175703,9,7,0,3,0,1,10,1,0,1,9843228,9918035,Up
Villa,0,Residence,Documented,191835,13,9,0,4,1,0,1,0,1,1,10496621,10621078,Up
House,2,Residence,Registrable,278667,4,5,0,2,1,1,1,0,0,0,14470393,14531597,Up
Empty Land,0,Residence,Registrable,41590,13,4,0,3,1,0,7,0,1,1,2900161,3015406,Up
Flat,22,Residence,Documented,329865,6,8,1,7,1,0,3,1,1,0,17538790,17627357,Up
Apartment,12,Non-Residence,Documented,65320,10,9,1,3,1,0,3,1,0,1,4351715,4437412,Up
Farm House,0,Non-Residence,Documented,322379,5,7,1,8,0,0,5,1,0,0,16866870,17007299,Up
Farm House,0,Residence,Documented,718815,10,7,1,8,0,1,6,0,1,1,36963373,37014903,Up
Apartment,28,Residence,Registrable,327569,13,5,0,5,0,1,2,0,1,0,17447886,17594663,Up
Flat,4,Residence,Documented,199541,1,4,0,1,1,1,3,1,1,0,10349432,10423729,Up
Building,7,Non-Residence,Registrable,103855,9,1,0,9,1,0,6,0,0,0,5993036,6117874,Up
Farm House,0,Non-Residence,Documented,236296,1,7,1,6,1,1,3,1,0,1,12475200,12574106,Up
Empty Land,0,Non-Residence,Registrable,214676,8,1,0,8,1,1,5,1,1,0,11436937,11553188,Up
Apartment,17,Non-Residence,Registrable,185279,9,1,0,5,1,0,9,0,1,1,10078493,10203562,Up
Apartment,1,Non-Residence,Registrable,347949,9,5,1,2,1,0,3,0,1,0,18132609,18243357,Up
Apartment,14,Non-Residence,Documented,422409,1,9,1,6,1,0,6,0,0,0,21985862,22076157,Up
Flat,15,Residence,Registrable,259295,2,6,1,4,0,1,5,0,0,0,13660837,13763301,Up
Building,12,Non-Residence,Registrable,486732,12,3,0,0,0,1,5,1,1,1,25240361,25297584,Up
House,2,Residence,Documented,500686,13,3,0,2,1,0,6,1,0,1,25859845,25923266,Up
Apartment,26,Residence,Documented,157230,1,7,1,4,1,1,6,1,1,1,8717701,8860933,Up
House,3,Non-Residence,Documented,385181,10,6,1,6,1,0,1,1,0,1,20186385,20250451,Up
Empty Land,0,Non-Residence,Documented,150003,2,9,0,2,0,1,9,1,1,1,8090113,8161689,Up
Empty Land,0,Non-Residence,Documented,655311,10,6,1,5,0,0,5,1,0,1,33597447,33729568,Up
Empty Land,0,Non-Residence,Documented,527535,12,5,0,4,1,1,1,0,0,1,27254152,27306292,Up
Farm House,0,Non-Residence,Registrable,648643,8,7,1,0,0,1,8,1,0,0,33233358,33342374,Up
Empty Land,0,Non-Residence,Registrable,452866,5,1,1,9,0,1,7,0,0,0,23310456,23401834,Up
Apartment,29,Non-Residence,Documented,66225,12,7,1,5,0,0,7,0,0,1,4689873,4747243,Up
Flat,13,Non-Residence,Documented,130481,11,3,0,7,1,0,5,1,0,1,7458855,7560605,Up
Flat,16,Residence,Registrable,85154,7,9,0,0,0,0,1,1,0,1,5009563,5154615,Up
Building,14,Residence,Registrable,592223,2,6,1,1,0,1,9,0,1,1,30319598,30381620,Up
Flat,7,Non-Residence,Registrable,319530,8,9,0,3,1,0,9,0,1,1,16885704,16994926,Up
Farm House,0,Residence,Documented,329447,11,5,1,1,1,1,8,1,1,0,17458751,17527079,Up
House,1,Non-Residence,Registrable,556339,6,7,1,8,0,0,5,1,0,1,28686945,28739874,Up
